6500,-23.5216044,-46.4942147,3,2,186,4,1,1535386908220,"apart","rent","https%3A%2F%2Fwww.imovelweb.com.br%2Fpropriedades%2Fapartamento-para-locacao-sao-paulo-sp-bairro-vila-2936742553.html%23map%2F3"
1100000,-23.474151,-46.629538,4,NA,240,4,NA,1535076118504,"house","sell","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fcasa-4-quartos-jardim-paraiso-zona-norte-sao-paulo-com-garagem-240m2-venda-RS1100000-id-85835874%2F%23%2F3"
8000,-23.636881,-46.67233,3,NA,433,7,NA,1535357033784,"house","rent","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fcasa-de-condominio-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-433m2-aluguel-RS8000-id-1037258161%2F%2F3"
235000,-23.58816,-46.543623,2,NA,50,1,NA,1535443826299,"apart","sell","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fapartamento-2-quartos-vila-ema-zona-leste-sao-paulo-com-garagem-50m2-venda-RS235000-id-1039137702%2F%2F3"
1500,-23.533823,-46.525163,2,NA,80,1,NA,1534750927663,"house","rent","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fsobrado-2-quartos-vila-matilde-zona-leste-sao-paulo-com-garagem-aluguel-RS1500-id-95074943%2F%2F3"
4200000,-23.605392,-46.708224,4,NA,300,4,NA,1534952589966,"apart","sell","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fapartamento-4-quartos-real-parque-zona-sul-sao-paulo-com-garagem-300m2-venda-RS4200000-id-86833792%2F%2F3"
960000,-23.563597,-46.6433796,3,3,145,1,1,1534961075062,"apart","sell","https%3A%2F%2Fwww.imovelweb.com.br%2Fpropriedades%2Fapartamento-a-venda-na-liberdade-2927703338.html%2F3"
540000,-23.5973821,-46.6243601,3,1,97,1,1,1535663084664,"apart","sell","https%3A%2F%2Fwww.imovelweb.com.br%2Fpropriedades%2Fapartamento-03dorms-01suite-vende-vila-mariana-2939099284.html%2F3"
2900,-23.5731039,-46.6426976,3,NA,168,NA,NA,1535221650722,"apart","rent","https%3A%2F%2Fwww.agenteimovel.com.br%2Fimovel%2Falugar%2Favenida-bernardino-de-campos%2Fparaiso%2Fsp%2F7066761.htm%2F3"
1199,-23.5372081,-46.697537,1,1,55,1,NA,1535513066309,"apart","rent","https%3A%2F%2Fwww.imovelweb.com.br%2Fpropriedades%2Fapartamento-para-aluguel-na-vila-romana-2938004692.html%2F3"
480000,-23.6279938,-46.6071547,2,3,60,2,2,1534761362892,"house","sell","http%3A%2F%2Fsalvadorimoveis.com.br%2Fdetalhe%2Fimprimir%2F4637%2F3"
419900,-23.534507,-46.685671,1,NA,50,1,NA,1534733693682,"apart","sell","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fapartamento-1-quartos-pompeia-zona-oeste-sao-paulo-com-garagem-50m2-venda-RS419900-id-1038596003%2F%2F3"
1490000,-23.5633850097656,-46.6597633361816,3,3,309,1,1,1534790803012,"apart","sell","https%3A%2F%2Fwww.imovelweb.com.br%2Fpropriedades%2Fjardim-america-apartamento-3-dormitorios.-2931703182.html%2F3"
350000,-23.5910201,-46.7449262,2,2,63,1,NA,1535056060685,"apart","sell","http%3A%2F%2Fwww.galaximoveis.com.br%2Fimovel%2Fcomprar%2Fapartamento%2Fbutanta%2F184087%2F3"
620,-23.494373,-46.650374,3,2,90,2,NA,1535275532281,"apart","rent","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fapartamento-3-quartos-vl-ester-zona-norte-sao-paulo-com-garagem-90m2-venda-RS510000-id-91079733%2F%3Fopen%3Dreport%23report-problems%2F3"
485000,-23.6222662,-46.6071719,3,2,69,1,1,1534814796090,"apart","sell","http%3A%2F%2Fsalvadorimoveis.com.br%2Fimoveis%2Fpara-venda%2Fem-sao-paulo%2Fno-bairro-vila-das-merces%2Fapartamento-padrao%2Fid-7947.html%2F3"
320000,-23.565699,-46.515337,3,NA,61,1,NA,1535052054113,"apart","sell","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fapartamento-3-quartos-jardim-vila-formosa-zona-leste-sao-paulo-com-garagem-61m2-venda-RS320000-id-92696183%2F%2F3"
690000,-23.5899232,-46.6182188,3,NA,82,2,NA,1534701433687,"apart","sell","https%3A%2F%2Fwww.agenteimovel.com.br%2Fimovel%2Fa-venda%2Frua-arcipreste-ezequias%2Fvila-sao-jose-ipiranga%2Fsp%2F7249752.htm%2F3"
645000,-23.498804,-46.635728,3,NA,78,2,NA,1535080332902,"apart","sell","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fapartamento-3-quartos-santana-zona-norte-sao-paulo-com-garagem-78m2-venda-RS645000-id-91560369%2F%3Fopen%3Dmap%23location-map%2F3"
265000,-23.6489601,-46.6636738,1,NA,41,1,NA,1535742548100,"apart","sell","https%3A%2F%2Fwww.imovelweb.com.br%2Fpropriedades%2Fapartamento-vila-santa-catarina-2936857242.html%23map%2F3"
9500,-23.622319,-46.676772,3,NA,160,3,NA,1534801159869,"apart","rent","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fapartamento-3-quartos-campo-belo-zona-sul-sao-paulo-com-garagem-160m2-aluguel-RS9500-id-84893240%2F%23contato%2F3"
308000,-23.5243025,-46.5279915,2,1,54,1,NA,1535504944176,"apart","sell","https%3A%2F%2Fwww.imovelweb.com.br%2Fpropriedades%2Fapartamento-padrao-na-zona-leste.-2920943782.html%2F3"
1190000,-23.494205,-46.630302,3,NA,320,5,NA,1534827458989,"house","sell","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fsobrado-3-quartos-santana-zona-norte-sao-paulo-com-garagem-320m2-venda-RS1190000-id-91080715%2F%2F3"
3700,-23.5732793,-46.6503677,3,1,180,2,1,1535385832929,"apart","rent","https%3A%2F%2Fwww.imovelweb.com.br%2Fpropriedades%2Fapartamento-para-aluguel-no-paraiso-2930178994.html%2F3"
1600000,-23.5942309,-46.6254475,3,NA,105,3,NA,1534775392637,"apart","sell","https%3A%2F%2Fwww.agenteimovel.com.br%2Fimovel%2Fa-venda%2Frua-voltaire%2Fjardim-vila-mariana%2Fsp%2F7076305.htm%2F3"
700000,-23.61669921875,-46.742000579834,3,3,120,2,1,1535447153740,"apart","sell","https%3A%2F%2Fwww.imovelweb.com.br%2Fpropriedades%2Fapartamento-residencial-para-venda-e-locacao-vila-2926417988.html%2F3"
270000,-23.6330657,-46.6254124,2,NA,43,1,NA,1534714543367,"apart","sell","http%3A%2F%2Fwww.mbigucci.com.br%2Fproduto%2F1024%2F154%2Fimovel-apartamento-de-2-ou-3dorms-saude-sao-paulo-piemonte%2F3"
265000,-23.68328,-46.672634,2,NA,65,1,NA,1535725831608,"apart","sell","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fapartamento-2-quartos-vila-castelo-zona-sul-sao-paulo-com-garagem-65m2-venda-RS265000-id-46870174%2F%2F3"
1300000,-23.6552506,-46.701447,2,5,148,3,2,1535133947915,"apart","sell","https%3A%2F%2Fwww.imovelweb.com.br%2Fpropriedades%2Fapartamento-para-venda-ou-locacao-no-alto-da-boa-vista-2938056582.html%23map%2F3"
2500000,-23.615325,-46.705992,4,4,440,5,2,1534743589023,"house","sell","https%3A%2F%2Fwww.imovelweb.com.br%2Fpropriedades%2Fcasa-no-real-parque-com-4-quartos-5-vagas-de-garagem-2936913025.html%2F3"
1200000,-23.5391330718994,-46.5905532836914,3,4,130,2,1,1534759996443,"apart","sell","https%3A%2F%2Fwww.imoveiscuritiba.com.br%2Fpropriedades%2Fapartamento-a-venda-condominio-lumina-park-no-2935157691.html%3Flabs%3Dfallback-legacy%26amp%3Blabs_source%3DRecomendados_ficha_propiedad_desktop%26amp%3Buserid%3D0%2F3"
450000,-23.56404,-46.573003,2,NA,92,2,NA,1535733518744,"house","sell","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fcasa-2-quartos-agua-rasa-zona-leste-sao-paulo-com-garagem-92m2-venda-RS450000-id-70785685%2F%2F3"
2200000,-23.504196,-46.647793,4,6,400,4,NA,1535301445905,"house","sell","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fsobrado-4-quartos-casa-verde-zona-norte-sao-paulo-com-garagem-400m2-venda-RS2200000-id-85132664%2F%2F3"
4000,-23.620619,-46.668379,3,NA,200,4,NA,1535055667149,"house","rent","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fcasa-3-quartos-campo-belo-zona-sul-sao-paulo-com-garagem-200m2-aluguel-RS4000-id-92521521%2F%2F3"
900,-23.563964,-46.665296,2,2,90,1,NA,1534838868202,"apart","rent","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fapartamento-2-quartos-jardim-paulista-zona-sul-sao-paulo-com-garagem-90m2-venda-RS680000-id-94620034%2F%2F3"
2800,-23.558294,-46.650988,1,NA,60,1,NA,1535064342686,"apart","rent","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fcobertura-1-quartos-bela-vista-centro-sao-paulo-60m2-aluguel-RS2800-id-91956417%2F%3Fopen%3Dreport%23report-problems%2F3"
1200000,-23.601696,-46.643368,3,NA,105,2,NA,1534929475343,"apart","sell","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fapartamento-3-quartos-vila-clementino-zona-sul-sao-paulo-com-garagem-105m2-venda-RS1200000-id-1039054075%2F%2F3"
1150000,-23.5796508789062,-46.674015045166,3,2,132,2,1,1535276409010,"apart","sell","https%3A%2F%2Fwww.imovelweb.com.br%2Fpropriedades%2Fapartamento-residencial-a-venda-andar-baixo-rua-2937397177.html%2F3"
640000,-23.539796,-46.591993,3,NA,96,1,NA,1535171893943,"apart","sell","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fapartamento-3-quartos-belem-zona-leste-sao-paulo-com-garagem-96m2-venda-RS640000-id-95129388%2F%2F3"
380,-23.565075,-46.562261,2,2,76,2,NA,1535098141686,"apart","rent","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fapartamento-2-quartos-agua-rasa-zona-leste-sao-paulo-com-garagem-76m2-venda-RS585000-id-93467693%2F%23contato%2F3"
650,-23.6271689,-46.6128021,1,1,32,NA,NA,1534883050324,"house","rent","http%3A%2F%2Fsalvadorimoveis.com.br%2Fimoveis%2Fpara-locacao%2Fem-sao-paulo%2Fno-bairro-vila-brasilina%2Fcasa-terrea%2Fid-8428.html%2F3"
550000,-23.6037,-46.6758975,2,NA,71,1,NA,1535144018269,"apart","sell","https%3A%2F%2Fwww.agenteimovel.com.br%2Fimovel%2Fa-venda%2Frua-professor-vahia-de-abreu%2Fvila-olimpia%2Fsp%2F7506936.htm%2F3"
1930000,-23.5337532,-46.6628547,4,6,240,3,3,1535566855686,"apart","sell","https%3A%2F%2Fwww.imovelweb.com.br%2Fpropriedades%2Fapartamento-pacaembu-4-dormitorios-2934926185.html%2F3"
1479000,-23.5889076,-46.6231609,4,2,284,6,NA,1534908006353,"house","sell","https%3A%2F%2Fwww.imovelweb.com.br%2Fpropriedades%2Fcasa-padrao-para-venda-em-jardim-vila-mariana-sao-2932229539.html%2F3"
350000,-23.5303352,-46.564245,3,1,80,1,NA,1535199658652,"apart","sell","https%3A%2F%2Fwww.imoveiscuritiba.com.br%2Fpropriedades%2Fapartamento-com-2-dormitorios-a-venda-no-parque-sao-2938957024.html%2F3"
10000,-23.619542,-46.703346,4,NA,400,4,NA,1535125433584,"house","rent","https%3A%2F%2Fwww.vivareal.com.br%2Fimovel%2Fcasa-de-condominio-4-quartos-morumbi-zona-sul-sao-paulo-com-garagem-400m2-aluguel-RS10000-id-67399700%2F%2F3"
800000,-23.6458364,-46.7011772,3,NA,95,2,NA,1534796317351,"apart","sell","https%3A%2F%2Fwww.agenteimovel.com.br%2Fimovel%2Fa-venda%2Favenida-adolfo-pinheiro%2Falto-da-boa-vista%2Fsp%2F7480002.htm%2F3"
2690000,-23.5443056,-46.6780597,4,NA,369,4,NA,1534894245322,"house","sell","https%3A%2F%2Fwww.agenteimovel.com.br%2Fimovel%2Fa-venda%2Fsumare%2Fsp%2F5448319.htm%2F3"
